metric,value,category
Total Specimens,0,Overview
Healthy/Background,197,Disease Distribution
HIV,95,Disease Distribution
T1D,92,Disease Distribution
Lupus,63,Disease Distribution
Covid19,58,Disease Distribution
Influenza,37,Disease Distribution
fold_0_test specimens,184,Fold Distribution
fold_0_test sequences,8858230,Fold Distribution
fold_0_train specimens,366,Fold Distribution
fold_0_train sequences,16290730,Fold Distribution
fold_1_test specimens,186,Fold Distribution
fold_1_test sequences,8366081,Fold Distribution
fold_1_train specimens,364,Fold Distribution
fold_1_train sequences,16782879,Fold Distribution
fold_2_test specimens,180,Fold Distribution
fold_2_test sequences,7924649,Fold Distribution
fold_2_train specimens,370,Fold Distribution
fold_2_train sequences,17224311,Fold Distribution
